ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (atm),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.5314,4.0763,8.4927,4.9112,3.5406,7.7146,1.0062,0.3086,-0.6588,-0.2643,-0.1809,0.0723,41.7817,-44.55,-14.25,-49.35,59.35,-23.68,-24.05,5.0,0.97816,38.105,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,10,2018-03-12 16:21:18:904
2.2753,3.3147,7.4629,2.5951,2.6831,9.0685,2.4721,0.7482,-0.5978,0.0318,2.478,0.3376,40.505,-34.2,-8.55,-54.6,36.67,-21.48,-21.81,5.0,0.97816,38.492,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,510,2018-03-12 16:21:19:404
1.4466,4.2248,9.2927,1.2566,3.275,9.1578,-0.0087,1.1015,-0.6338,0.1351,0.5089,0.0846,30.8366,-19.8,-10.35,-58.5,40.5,-17.1,-11.93,5.0,0.97818,38.467,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,1013,2018-03-12 16:21:19:907
2.0501,3.4776,8.6939,-0.4079,3.9825,8.9523,0.7019,1.2277,1.8362,0.631,-0.2618,0.6199,29.4763,-8.1,-17.4,-59.1,66.5,-17.89,-3.17,5.0,0.97818,37.933,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,1510,2018-03-12 16:21:20:404
-0.388,5.6427,7.6257,-0.2009,5.2729,8.266,-0.6443,0.4323,-0.6595,0.0249,-0.3753,-0.2158,27.9001,-11.85,-25.95,-54.45,61.31,-31.07,-1.57,5.0,0.97817,44.891,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,2010,2018-03-12 16:21:20:904
1.4466,3.9566,8.7083,0.6444,4.3841,8.7484,0.3175,-1.0897,-1.3626,-0.2302,0.7448,-0.4321,23.7241,-19.05,-20.4,-53.7,42.54,-28.88,-10.35,5.0,0.97817,47.132,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,2510,2018-03-12 16:21:21:404
-11.6685,3.9709,5.681,-8.5262,-0.3353,4.8333,-5.0047,3.1386,1.0142,-1.2838,0.6969,-1.2555,13.2455,37.95,-6.9,-36.45,18.79,-31.08,54.31,0.0,0.97818,40.195,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,3010,2018-03-12 16:21:21:904
-9.2831,-1.7627,2.5723,-7.408,-2.5814,5.8845,-2.6677,-1.2963,2.1228,0.459,0.1621,-1.4361,47.2114,26.1,8.1,-37.35,72.52,3.11,58.87,0.0,0.9782,44.346,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,3510,2018-03-12 16:21:22:404
-6.4043,0.7808,6.5767,-8.5036,-0.3241,4.8739,2.0683,1.0717,1.7155,-0.8188,5.9412,3.7794,14.3993,22.2,12.15,-34.65,263.11,17.12,25.12,0.0,0.9782,42.763,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,4010,2018-03-12 16:21:22:904
-6.8162,-4.6511,3.4057,-6.9455,-3.6437,5.8868,2.6529,-2.856,-1.3858,-0.0151,-0.9426,-3.7871,11.6694,18.3,31.95,-22.5,14.91,21.81,49.72,0.0,0.9782,58.966,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,4510,2018-03-12 16:21:23:404
